# x	f(x)	F(x)	error
2.736	-4.76996	-4.92997	0.160011
2.7375	-4.6893	-4.85063	0.161328
2.739	-4.60747	-4.77004	0.162568
2.7405	-4.52447	-4.6882	0.163729
2.742	-4.4403	-4.60511	0.16481
2.7435	-4.35496	-4.52077	0.16581
2.745	-4.26845	-4.43518	0.166728
2.7465	-4.18078	-4.34834	0.167562
2.748	-4.09195	-4.26026	0.168311
2.7495	-4.00196	-4.17094	0.168975
2.751	-3.91083	-4.08038	0.169552
2.7525	-3.81854	-3.98858	0.170041
2.754	-3.72511	-3.89555	0.17044
2.7555	-3.63054	-3.80129	0.17075
2.757	-3.53483	-3.70579	0.170968
2.7585	-3.43798	-3.60908	0.171095
2.76	-3.34001	-3.51114	0.171128
2.7615	-3.24091	-3.41198	0.171068
2.763	-3.14069	-3.3116	0.170912
2.7645	-3.03935	-3.21001	0.170661
2.766	-2.9369	-3.10721	0.170314
2.7675	-2.83334	-3.00321	0.16987
2.769	-2.72868	-2.89801	0.169327
2.7705	-2.62292	-2.79161	0.168687
2.772	-2.51607	-2.68401	0.167946
2.7735	-2.40812	-2.57523	0.167107
2.775	-2.2991	-2.46527	0.166167
2.7765	-2.189	-2.35412	0.165125
2.778	-2.07782	-2.2418	0.163983
2.7795	-1.96558	-2.12832	0.162739
2.781	-1.85227	-2.01367	0.161393
2.7825	-1.73791	-1.89786	0.159945
2.784	-1.6225	-1.78089	0.158393
2.7855	-1.50604	-1.66278	0.156739
2.787	-1.38855	-1.54353	0.154982
2.7885	-1.27002	-1.42314	0.153122
2.79	-1.15047	-1.30163	0.151158
2.7915	-1.0299	-1.17899	0.149092
2.793	-0.908309	-1.05523	0.146922
2.7945	-0.785716	-0.930364	0.144649
2.796	-0.662121	-0.804394	0.142273
2.7975	-0.537533	-0.677328	0.139795
2.799	-0.411958	-0.549172	0.137214
2.8005	-0.285403	-0.419935	0.134532
2.802	-0.157875	-0.289623	0.131747
2.8035	-0.0293812	-0.158244	0.128862
2.805	0.100071	-0.0258056	0.125877
2.8065	0.230475	0.107684	0.122792
2.808	0.361823	0.242216	0.119607
2.8095	0.494107	0.377782	0.116325
2.811	0.62732	0.514375	0.112945
2.8125	0.761454	0.651986	0.109469
2.814	0.896501	0.790604	0.105897
2.8155	1.03245	0.930223	0.102231
2.817	1.1693	1.07083	0.0984711
2.8185	1.30704	1.21242	0.0946198
2.82	1.44566	1.35498	0.0906779
2.8215	1.58515	1.49851	0.0866468
2.823	1.72551	1.64298	0.0825281
2.8245	1.86672	1.7884	0.0783234
2.826	2.00878	1.93474	0.0740342
2.8275	2.15167	2.08201	0.0696625
2.829	2.2954	2.23019	0.0652101
2.8305	2.43994	2.37926	0.0606789
2.832	2.5853	2.52923	0.056071
2.8335	2.73146	2.68007	0.0513887
2.835	2.87841	2.83178	0.046634
2.8365	3.02615	2.98434	0.0418094
2.838	3.17466	3.13774	0.0369174
2.8395	3.32393	3.29197	0.0319605
2.841	3.47396	3.44702	0.0269414
2.8425	3.62474	3.60287	0.0218629
2.844	3.77625	3.75952	0.0167278
2.8455	3.92849	3.91695	0.0115392
2.847	4.08144	4.07514	0.00630011
2.8485	4.2351	4.23408	0.00101384
2.85	4.38945	4.39377	-0.00431631
2.8515	4.54449	4.55418	-0.00968687
2.853	4.7002	4.7153	-0.0150943
2.8545	4.85658	4.87712	-0.0205348
2.856	5.01362	5.03962	-0.0260046
2.8575	5.17129	5.20279	-0.0314998
2.859	5.3296	5.36662	-0.0370163
2.8605	5.48854	5.53109	-0.0425499
2.862	5.64808	5.69618	-0.0480962
