x,interpolated_y
7.94595,617.997
7.96496,622.198
7.98398,626.418
8.003,630.657
8.02202,634.915
8.04104,639.192
8.06006,643.487
8.07908,647.802
8.0981,652.136
8.11712,656.489
8.13614,660.861
8.15516,665.253
8.17417,669.664
8.19319,674.093
8.21221,678.543
8.23123,683.011
8.25025,687.499
8.26927,692.007
8.28829,696.534
8.30731,701.08
8.32633,705.646
8.34535,710.231
8.36436,714.836
8.38338,719.461
8.4024,724.105
8.42142,728.769
8.44044,733.453
8.45946,738.157
8.47848,742.88
8.4975,747.623
8.51652,752.386
8.53554,757.169
8.55455,761.972
8.57357,766.794
8.59259,771.637
8.61161,776.5
8.63063,781.383
8.64965,786.286
8.66867,791.209
8.68769,796.152
8.70671,801.115
8.72573,806.098
8.74474,811.102
8.76376,816.125
8.78278,821.169
8.8018,826.234
8.82082,831.318
8.83984,836.423
8.85886,841.548
8.87788,846.694
8.8969,851.86
8.91592,857.046
8.93493,862.252
8.95395,867.479
8.97297,872.727
8.99199,877.995
9.01101,883.283
9.03003,888.592
9.04905,893.921
9.06807,899.271
9.08709,904.641
9.10611,910.032
9.12513,915.443
9.14414,920.875
9.16316,926.327
9.18218,931.8
9.2012,937.294
9.22022,942.808
9.23924,948.342
9.25826,953.897
9.27728,959.473
9.2963,965.069
9.31532,970.685
9.33433,976.322
9.35335,981.98
9.37237,987.658
9.39139,993.356
9.41041,999.075
9.42943,1004.81
9.44845,1010.57
9.46747,1016.36
9.48649,1022.16
9.50551,1027.98
9.52452,1033.82
9.54354,1039.68
9.56256,1045.56
9.58158,1051.47
9.6006,1057.39
9.61962,1063.33
9.63864,1069.29
9.65766,1075.28
9.67668,1081.28
9.6957,1087.3
9.71471,1093.35
9.73373,1099.41
9.75275,1105.5
9.77177,1111.6
9.79079,1117.72
9.80981,1123.87
9.82883,1130.03
9.84785,1136.21
9.86687,1142.41
9.88589,1148.64
9.9049,1154.88
9.92392,1161.14
9.94294,1167.42
9.96196,1173.72
9.98098,1180.04
10,1186.38
